,First word,Second word,Third word,Faculty,Admission probability,Relatives graduated this faculty,Plans to work in this field,Preparation for admission,Math,Russian language,Social science,Foreign language,History,Probability of other faculties admission,Pay for university possibility,Student loan,Age,Sex,Financial situation of the family,Number of foreign languages,First foreign language,Second foreign language,Third foreign language,Fourth foreign language,Family social class
640,современный, перспективный, востребованный,Факультет фундаментальной физико–химической инженерии,8,no,1.0,1.4,81,98,72,90,66,8,2.0,2,17,2,4,1,английский,,,,3
643,популярный, эффективный, сложный,Экономический факультет,9,no,2.0,5,36,92,66,74,86,8,1.0,2,18,2,4,1,английский,,,,3
645,перспективный, замечательный, хороший,Факультет глобальных процессов,9,no,2.0,5,44,84,80,90,86,9,2.0,3,19,1,4,1,английский,,,,3
646,интересный, сложный, высокий,Социологический факультет,9,no,2.0,"1,2,5",85,90,90,55,57,9,2.0,2,16,1,3,1,английский,,,,4
653,сложный бестолковый,,,Филологический факультет,4,no,2.0,1,44,82,63,55,63,2,2.0,2,18,2,5,1,английский,,,,2
654,престижный востребованный серьезный,,,Юридический факультет,6,no,2.0,1.5,63,90,93,85,56,7,2.0,3,17,2,5,2,английский,французский,,,3
655,заумный, интересный, самый лучший,Факультет фундаментальной медицины,7,no,2.0,5,68,98,95,94,93,7,2.0,2,17,1,3,1,английский,,,,4
657,неплохой, запасной, хороший,Социологический факультет,10,no,1.0,1,63,95,66,80,96,9,1.0,3,17,2,5,2,английский,французский,,,3
658,интересный, позитивный, уютный,Социологический факультет,8,no,2.0,1.5,70,100,83,94,77,6,2.0,2,17,2,5,2,английский,французский,,,3
659,современный, интересный, перспективный,Факультет вычислительной математики и кибернетики,8,yes,2.0,1,66,95,93,74,57,8,1.0,3,17,2,6,2,английский,немецкий,,,2
660,интересный, прекрасный, востребованный,Юридический факультет,7,no,2.0,1.2,77,81,71,54,61,6,1.0,2,17,1,4,1,английский,,,,3
661,хороший, популярный, благоприятный,Экономический факультет,6,no,2.0,1,60,70,80,75,54,6,1.0,2,17,1,5,1,английский,,,,2
662,хороший, большой, красивый,Юридический факультет,5,no,2.0,1,63,68,85,60,63,5,1.0,1,17,2,6,1,английский,,,,3
666,мечта моего детства,,,Юридический факультет,7,yes,2.0,1,77,90,69,92,54,9,2.0,2,17,2,5,2,английский,французский,,,2
667,престижный, известный, малодоступный,Юридический факультет,7,no,2.0,"1,2,5",87,80,93,70,63,7,2.0,2,18,2,3,1,английский,,,,3
670,успешный,интересный,познавательный,Юридический факультет,9,no,3.0,1,70,78,82,80,57,7,1.0,2,18,1,5,1,английский,,,,3
671,престижный, востребованный, выгодный,Юридический факультет,10,no,2.0,1,72,90,93,94,61,8,2.0,2,17,1,5,1,английский,,,,3
672,элитный, известный, перспективный,Факультет фундаментальной медицины,6,no,2.0,1,66,82,83,85,54,7,2.0,2,17,2,4,1,английский,,,,3
673,умный, серьезный, здоровский,Социологический факультет,9,no,2.0,3,32,65,62,55,63,7,1.0,3,18,2,4,1,немецкий,,,,3
674,сложный, интересный, классный,Механико–математический факультет,8,no,1.0,4,60,82,83,85,55,8,2.0,2,17,2,4,1,английский,,,,3
675,интересный, полезный,,Юридический факультет,7,yes,2.0,1,44,79,88,79,54,7,1.0,3,17,1,7,2,английский,немецкий,,,3
677,умный, познавательный, интересный,Социологический факультет,7,yes,2.0,5,44,69,63,55,63,7,1.0,2,17,1,6,1,английский,,,,7
678,интересный,популярный ,перспективный,Юридический факультет,9,yes,1.0,1,74,100,93,80,100,8,2.0,2,17,1,5,1,английский,,,,3
679,интересный, полезный, перспективный,Экономический факультет,9,no,1.0,1,55,58,55,37,63,5,1.0,3,18,1,6,1,английский,,,,3
680,интересный, познавательный, востребованный,Экономический факультет,9,no,2.0,5,66,98,84,90,98,9,2.0,2,17,1,4,1,английский,,,,4
681,фундаментальный, устаревший, естественный,Физический факультет,8,no,2.0,4,85,90,90,98,82,9,2.0,3,18,1,4,1,английский,,,,2
682,научная работа с го курса, много времени тратится, огромный объем материалов,Факультет наук о материалах,10,no,1.0,1,66,96,92,86,98,8,2.0,2,18,1,4,1,английский,,,,4
683,восхитительны, невероятный, желанный,Филологический факультет,7,no,2.0,5,44,98,95,62,82,6,2.0,2,18,2,4,1,английский,,,,3
684,практически невозможно поступить,,,Юридический факультет,5,no,2.0,1,75,81,78,55,65,6,2.0,2,18,1,6,1,английский,,,,3
685,всеохватывающий, универсальный глобальный,,Факультет глобальных процессов,8,yes,1.0,1,55,65,56,66,64,1,1.0,2,20,1,5,1,английский,,,,2
686,интересный,перспективный,важный,Юридический факультет,9,yes,2.0,1,85,98,59,92,54,5,1.0,2,17,2,5,1,английский,,,,3
687,клевый, стильный, модный,Механико–математический факультет,6,no,2.0,1,68,76,70,78,65,6,2.0,2,18,1,4,1,английский,,,,3
688,яркий, смесь наук, увлекательный,Факультет почвоведения,10,no,3.0,5,44,73,57,60,55,9,2.0,2,17,1,4,2,английский,литовский,,,3
689,богатый, успешный, умный,Экономический факультет,7,no,2.0,1,66,87,83,93,86,6,1.0,3,18,1,7,2,английский,французский,,,2
690,престижный, известный, необычный,Юридический факультет,4,no,2.0,1,77,87,78,55,63,9,2.0,2,17,2,7,2,английский,французский,,,3
691,интересный, увлекательный,,Социологический факультет,8,no,2.0,1,44,82,56,72,63,5,1.0,3,17,2,4,1,английский,,,,3
692,интересный, перспективный , желанный,Факультет мировой политики,4,no,2.0,4,72,70,66,72,63,6,1.0,2,17,1,7,2,английский,немецкий,,,3
693,интересный,любознательный, эрудированный,Факультет мировой политики,5,no,2.0,1,65,70,72,65,63,6,2.0,2,17,2,6,1,английский,,,,3
694,интересный, увлекательный, познавательный,Юридический факультет,7,no,1.0,1,70,90,75,83,73,8,1.0,2,18,2,5,1,английский,,,,2
695,умный, социализирующий, специализирующий,Юридический факультет,7,no,2.0,7,90,84,71,64,57,7,2.0,3,17,2,5,1,английский,,,,3
697,уютный, интересный, яркий,Филологический факультет,8,no,5.0,5,85,92,55,93,54,8,2.0,2,17,1,5,3,английский,французский,испанский,,7
698,жаркий, коррупционный, недосягаемый,Юридический факультет,8,no,1.0,1,70,89,78,88,63,8,2.0,2,17,2,5,1,французский,,,,2
699,интересный, микробиологический, увлекательный,Биологический факультет,5,no,4.0,2,77,84,88,93,55,5,2.0,2,17,2,7,1,английский,,,,3
700,умный, современный, востребованный,Факультет вычислительной математики и кибернетики,8,no,3.0,1,87,84,83,90,54,9,2.0,2,16,1,5,2,английский,немецкий,,,3
701,правовой, законный, правильный,Юридический факультет,7,no,2.0,1.2,70,79,85,54,57,6,2.0,2,18,2,4,1,английский,,,,2
702,научный, интересный, сложный,Филологический факультет,5,no,2.0,1,66,76,55,97,61,7,2.0,3,17,1,5,1,английский,,,,3
703,интересный, дружелюбный, химический,Факультет фундаментальной физико–химической инженерии,8,no,1.0,"1,2,5",87,79,83,95,54,7,2.0,2,18,1,7,3,английский,японский,латынь,,7
704,престижный, конкурентный, известный,Юридический факультет,9,yes,2.0,7,44,55,55,65,63,9,1.0,2,17,1,7,2,английский,немецкий,,,3
705,интересный, престижный, гуманитарный,Экономический факультет,8,no,2.0,1.2,70,98,71,88,55,9,2.0,2,17,1,5,1,английский,,,,3
706,интересный  сложный  преспективный,,,Юридический факультет,6,no,2.0,3,79,84,75,68,54,7,2.0,2,18,2,5,2,английский,немецкий,,,3
708,справедливый, юридический, тяжелый,Юридический факультет,5,no,2.0,1.4,68,71,80,56,65,6,1.0,3,17,2,7,1,английский,,,,7
709,интересный, качественный, нужный,Юридический факультет,6,no,2.0,"1, 3, 5",68,84,85,90,56,8,3.0,2,17,2,3,2,английский,немецкий,,,2
710,фундаментальный, перспективный, многообещающий,Факультет глобальных процессов,7,yes,2.0,"1, 2, 4",81,87,70,89,56,8,2.0,2,17,2,5,1,английский,,,,3
711,хороший, интересный, красивый,Юридический факультет,7,no,2.0,7,86,95,63,87,79,8,2.0,2,17,1,3,1,английский,,,,3
712,сложный, нужный, умный,Юридический факультет,6,no,2.0,4,66,64,67,87,66,7,1.0,3,18,1,6,1,английский,,,,3
713,большой, красивый,умный,Высшая школа современных социальных наук факультет,4,no,2.0,7,36,64,43,38,57,6,1.0,2,17,1,6,1,английский,,,,2
714,перспективный, трудный, дорогой,Экономический факультет,9,no,4.0,1,90,87,70,93,61,9,2.0,2,17,1,5,2,английский,немецкий,,,3
715,интересный ,перспективный , загадочный,Филологический факультет,8,yes,3.0,7,79,88,99,66,54,3,1.0,3,18,1,6,2,английский,татарский,,,3
716,увлекательный, путешественный, легкий,Географический факультет,9,no,2.0,"1, 5",98,100,44,95,63,9,2.0,2,18,1,5,2,немецкий,английский,,,3
717,прогрессивный, интересный, увлекателный,Экономический факультет,6,no,2.0,1,68,84,93,56,55,8,2.0,2,17,2,4,1,английский,,,,3
718,интересный, увлекательный, маленький,Высшая школа телевидения факультет,8,yes,2.0,"1, 2, 5",74,90,83,55,54,8,2.0,2,17,1,4,1,английский,,,,3
719,богатый, интересный, глубокий,Филологический факультет,7,no,2.0,1,70,95,46,90,65,8,3.0,2,17,2,4,1,английский,,,,3
720,современный, активный, перспективный,Социологический факультет,9,no,2.0,5,85,100,83,54,65,10,2.0,2,18,1,4,1,английский,,,,3
721,сложный, важный, нужный,Экономический факультет,5,yes,2.0,4,32,84,66,70,66,7,1.0,3,18,2,3,1,английский,,,,3
723,яркий, неординарный, веселый,Факультет почвоведения,8,no,1.0,1,77,98,67,92,45,8,2.0,2,17,2,5,1,английский,,,,2
725,престижный, сложный, востребованный,Экономический факультет,7,no,2.0,1,52,84,66,87,93,7,2.0,3,17,2,5,1,английский,,,,3
726,интересный, математический, будущий,Экономический факультет,9,no,6.0,4,63,95,66,93,57,8,1.0,3,17,2,4,1,английский,,,,2
728,стабильный, возможности, выгодный,Юридический факультет,7,no,2.0,1,55,72,45,65,54,7,3.0,2,18,2,6,2,английский,французский,,,7
729,напористый,усердный,двусмысленный,Экономический факультет,4,no,3.0,1,79,73,68,74,63,6,2.0,3,17,2,6,1,английский,,,,3
730,отличный, престижный, интересный,Юридический факультет,9,yes,1.0,4,96,87,66,80,55,8,3.0,3,17,2,7,1,английский,,,,3
731,интересный, сложный, перспективный,Факультет вычислительной математики и кибернетики,8,no,2.0,1,81,95,56,84,54,5,2.0,3,18,2,5,1,английский,,,,3
732,большой, красивый, перспективный,Экономический факультет,5,no,2.0,1,68,82,66,64,57,1,3.0,2,17,2,6,1,английский,,,,7
733,большой, красивый,,Экономический факультет,9,yes,1.0,1,79,90,68,85,61,9,1.0,2,17,2,6,1,английский,,,,3
734,интересный, востребованный , популярный,Юридический факультет,7,no,2.0,1,70,82,90,84,54,7,3.0,3,17,2,5,2,английский,французский,,,2
735,старый, умныый, красивый,Юридический факультет,7,no,2.0,1,60,76,90,63,63,8,1.0,3,17,1,6,2,английский,немецкий,,,3
736,престижный, сложный, интересный,Юридический факультет,5,yes,2.0,2,24,51,43,55,55,5,1.0,3,17,1,6,1,английский,,,,7
737,перспектива, карьера, хорошая заработная плата,Экономический факультет,10,no,1.0,4,56,98,66,72,54,10,3.0,3,17,2,5,2,английский,немецкий,,,3
738,сложный, большой, красивый,Механико–математический факультет,8,no,2.0,5,72,84,69,84,65,8,2.0,2,16,1,4,2,английский,немецкий,,,2
740,престижный, дружелюбный, вкусный,Экономический факультет,8,no,2.0,1,88,95,66,98,89,8,2.0,2,17,1,5,2,английский,французский,,,2
743,нужный, сложный, интересный,Факультет биоинженерии и биоинформатики,10,no,1.0,1,45,70,68,65,67,10,2.0,2,17,1,5,2,английский,немецкий,,,3
744,сложный, интересный, таинственный,Физический факультет,6,no,1.0,2,52,82,83,78,63,6,3.0,2,17,1,5,английский,немецкий,,,,2
746,увлекательный,интересный,правильный,Юридический факультет,8,no,2.0,2,56,87,56,71,67,10,2.0,2,17,1,7,английский,армянский,,,,2
749,интересный, перспективный, престижный,Факультет фундаментальной медицины,6,no,4.0,1,69,87,93,87,75,5,2.0,2,18,2,4,2,английский,немецкий,,,3
750,интересный  престижный  классный,,,Факультет фундаментальной медицины,7,no,2.0,1,84,92,77,63,77,4,1.0,1,18,1,7,1,английский,,,,3
751,запасной, хороший, стабильный,Экономический факультет,4,no,1.0,1,71,94,84,73,89,3,1.0,2,17,1,7,1,английский,,,,7
752,юридиеский, интересный, востребованный,Юридический факультет,8,no,2.0,7,52,87,45,83,60,8,1.0,2,18,2,5,2,английский,испанский,,,3
753,интересный, физический, хорошый,Факультет вычислительной математики и кибернетики,7,no,2.0,1,63,87,96,74,77,5,1.0,1,17,1,7,1,английский,,,,2
754,жизненнонеобходимый, небесполезный, серендипный,Факультет психологии,10,no,5.0,2,84,69,71,65,74,8,2.0,2,18,1,5,2,английский,немецкий,,,3
755,маленький, женский,,Социологический факультет,5,no,2.0,1,84,87,76,69,56,2,1.0,2,17,1,7,1,английский,,,,2
756,современный, популярный, востребованный,Экономический факультет,8,no,1.0,1,48,92,100,88,96,8,2.0,2,17,1,5,2,английский,французский,,,2
757,потенциальный, разносторонний, престижный,Экономический факультет,6,no,2.0,1,82,85,87,65,78,7,1.0,2,17,1,6,1,английский,,,,2
758,интересный, загадочный, перспективный,Филологический факультет,2,no,2.0,1,63,88,79,69,92,4,1.0,3,16,2,7,1,английский,,,,7
759,трудно, дорого, престижно,Экономический факультет,8,no,2.0,2,74,98,80,72,55,7,1.0,2,17,2,7,2,английский,немецкий,,,3
760,любимый, родной, интересный,Юридический факультет,5,no,2.0,5,63,87,83,65,77,5,2.0,3,18,2,4,1,английский,,,,3
761,классный, красивый, замечательный,Высшая школа современных социальных наук факультет,8,no,2.0,7,70,68,65,55,57,6,1.0,2,17,2,5,1,английский,,,,3
762,обширный, интересный, увлекательный,Социологический факультет,7,no,2.0,1,60,84,65,93,61,8,2.0,2,16,1,1,1,английский,,,,6
763,познавательный, правовой, интересный,Юридический факультет,3,no,2.0,1,60,68,78,72,54,4,3.0,3,17,1,5,1,английский,,,,2
764,интересный, веселый, познавательный,Социологический факультет,8,no,4.0,"1, 2, 4, 5",79,92,75,89,63,9,2.0,2,18,2,6,2,английский,французский,,,3
765,интересный, в меру сложный, перспективный,Физический факультет,10,no,1.0,7,70,76,93,93,55,10,3.0,3,17,1,7,1,английский,,,,7
767,правовой, востребованный, значительный,Юридический факультет,8,no,2.0,"1, 2, 3, 5",52,71,55,60,57,8,1.0,3,18,1,6,1,английский,,,,3
768,сложный, престижный, известный,Факультет государственного управления,8,no,2.0,1,56,90,78,85,61,7,2.0,2,16,1,5,4,английский,испанский,португальский французский,,2
769,интересный, загадочный, увлекательный,Факультет мировой политики,9,no,4.0,1,92,92,85,80,54,5,2.0,2,18,1,6,1,английский,,,,2
770,интересный, многообещающий,,Юридический факультет,10,no,2.0,1,56,79,65,66,63,7,3.0,2,17,2,5,2,английский,французский,,,3
771,подходящий ,интересный, современный,Высшая школа современных социальных наук факультет,8,no,1.0,1,52,62,73,55,55,6,2.0,2,17,2,4,1,английский,,,,3
772,интересный  обновленный  дружелюбный,,,Юридический факультет,6,no,1.0,1,83,69,70,55,54,7,2.0,2,18,1,4,1,английский,,,,4
773,интересный, занимательный, интригующий,Факультет глобальных процессов,7,no,2.0,1,52,72,78,55,55,6,2.0,3,17,2,4,1,английский,,,,3
774,перспективный, необходимый для жизни, уютный,Экономический факультет,8,no,2.0,1,63,90,85,66,98,7,2.0,2,19,1,5,1,английский,,,,3
776,сложный, интересный, прикольный,Физический факультет,5,no,2.0,4,56,87,78,87,93,6,3.0,2,16,2,5,1,английский,,,,3
777,интересующий, труднодоступный обучающий,,Факультет мировой политики,7,no,1.0,1,60,90,85,65,94,10,2.0,2,18,1,6,3,английский,немецкий,итальянский,,2
778,интересный, познавательный, увлекательный,Юридический факультет,6,no,2.0,1,63,68,69,45,70,5,1.0,3,18,2,5,1,английский,,,,3
780,перспективный, полезный, дорогой,Экономический факультет,6,no,2.0,5,52,95,63,65,65,3,1.0,3,17,2,3,1,английский,,,,4
785,сложный, интересный, лучшее,Юридический факультет,10,no,2.0,1,56,90,78,60,72,7,1.0,2,17,1,5,1,английский,,,,3
787,престижный, перспективный, эффективный,Факультет иностранных языков и регионоведения,5,yes,1.0,5,40,65,57,66,47,6,1.0,2,17,2,6,2,английский,армянский,,,2
788,интересный, престижный, сложный,Экономический факультет,10,yes,2.0,7,45,79,54,67,62,5,2.0,2,18,2,1,3,английский,французский,немецкий,,7
789,исторический, престижный, важный,Юридический факультет,7,no,1.0,5,56,48,48,55,57,9,1.0,3,16,2,3,2,английский,немецкий,,,3
790,перспективный, престижный, популярный,Юридический факультет,9,no,4.0,7,56,86,90,68,61,5,2.0,2,16,2,5,1,английский,,,,2
792,интересный, перспективный,,Филологический факультет,10,yes,4.0,5,66,84,88,44,63,7,3.0,2,18,2,5,2,английский,татарский,,,3
793,желанный,,,Биологический факультет,6,no,1.0,1,56,71,70,54,55,10,2.0,2,18,2,6,1,английский,,,,1
794,перспективный, интересный, полезный,Факультет вычислительной математики и кибернетики,8,no,4.0,1,63,82,78,78,54,8,1.0,2,17,2,6,1,английский,,,,2
795,классический  офигенный  желанный,,,Экономический факультет,10,no,4.0,5,70,92,85,64,66,5,2.0,2,18,2,4,1,английский,,,,4
797,престижный, старинный, известный,Юридический факультет,6,no,2.0,1,63,92,66,55,61,5,1.0,3,18,2,6,1,английский,,,,3
798,серьезный,перспективны,успешный,Юридический факультет,7,yes,1.0,2,56,76,66,74,54,9,2.0,2,17,2,3,3,английский,немецкий,французский,,3
799,чудесный, хороший, любимый,Юридический факультет,5,no,2.0,1,68,82,66,88,63,8,2.0,2,17,2,6,2,английский,французский,,,2
800,обязательный, регулирующий, рассматривающий,Высшая школа государственного аудита факультет,6,no,4.0,5,74,79,98,90,55,9,2.0,2,18,2,3,2,английский,французский,,,3
801,правовой, востребованный, значимый,Юридический факультет,7,yes,2.0,1,66,98,78,94,54,5,2.0,3,17,2,3,2,немецкий,английский,,,3
802,статусный, родной, запоминающийся,Экономический факультет,8,yes,3.0,1,45,76,100,54,77,7,1.0,1,17,2,6,1,французский,,,,3
803,дающий возможности, уважаемый, технический,Факультет вычислительной математики и кибернетики,8,no,2.0,1,74,76,88,79,66,5,2.0,2,18,2,4,1,английский,,,,3
804,развивающийся, интересный, перспективный,Высшая школа государственного аудита факультет,7,no,2.0,1,87,91,94,67,64,10,1.0,2,16,1,7,1,английский,,,,3
805,интересный, престижный, современный,Экономический факультет,1,no,2.0,1,79,82,90,88,56,9,1.0,2,17,1,6,1,английский,,,,2
807,перспективный, богатый, отличный,Факультет государственного управления,7,no,2.0,3,70,84,75,88,64,8,2.0,2,17,1,5,1,английский,,,,3
808,умный, хороший, престижный,Юридический факультет,8,no,1.0,1,70,83,90,84,56,9,3.0,2,18,1,7,3,английский,немецкий,китайский,,7
809,сложный, востребованный, публичный,Юридический факультет,7,no,2.0,2,100,84,84,84,45,9,2.0,2,17,2,5,2,английский,французский,,,3
810,круто, показно,престижно,Факультет государственного управления,5,no,2.0,3,40,92,55,93,64,5,3.0,1,18,2,5,2,английский,французский,,,3
811,большой, увлекательный, интересный,Химический факультет,9,no,2.0,1,71,81,71,80,65,10,2.0,2,17,2,5,1,английский,,,,2
812,интересный, перспективный, приятный,Биологический факультет,9,no,4.0,7,87,84,80,92,55,10,2.0,2,18,2,5,1,английский,,,,3
813,тяжелый, математический, престижный,Экономический факультет,10,no,2.0,1,68,84,92,65,54,7,2.0,2,18,2,6,1,английский,,,,2
814,перспективный, прекрасный, неизведанный,Экономический факультет,1,no,2.0,1,56,72,85,82,82,9,3.0,2,17,2,6,2,русский,английский,,,3
815,полевой, веселый, дружный,Географический факультет,5,no,2.0,4,63,79,78,56,66,9,2.0,2,18,2,4,1,английский,,,,3
816,престижный, сложный, интересный,Юридический факультет,7,yes,2.0,1,60,98,65,58,72,5,2.0,2,17,1,4,1,английский,,,,3
818,интерес, общество, опрос,Социологический факультет,5,no,4.0,7,65,68,70,58,73,6,3.0,3,19,1,3,1,немецкий,,,,4
819,престижный, недоступный,,Высшая школа перевода факультет,8,no,2.0,2,77,84,88,93,56,5,2.0,2,17,2,5,2,английский,немецкий,,,3
820,красивый, интересный, перспективный,Экономический факультет,10,no,2.0,1,77,70,78,80,55,5,2.0,2,17,2,5,1,английский,,,,3
821,умный, справедливый, светлый,Юридический факультет,5,yes,2.0,5,52,90,88,60,70,8,2.0,2,17,2,5,1,английский,,,,3
822,фундаментальный, родной,,Экономический факультет,5,no,2.0,7,44,85,70,85,55,7,1.0,3,18,2,5,1,английский,,,,2
823,нужный, важный, сильный,Факультет вычислительной математики и кибернетики,10,no,4.0,5,72,82,95,94,54,7,3.0,2,17,2,6,2,английский,немецкий,,,2
824,престижный,многообещающий,недоступный,Юридический факультет,7,yes,2.0,5,63,84,93,82,65,6,2.0,2,17,2,4,2,английский,французский,,,3
826,интересный, перспективный, красивый,Экономический факультет,8,no,2.0,4,44,87,66,54,59,8,1.0,2,18,1,3,2,английский,французский,,,3
827,продуктивный, перспективный, познавательный,Социологический факультет,5,no,1.0,7,65,95,82,55,94,7,2.0,2,18,1,5,1,английский,,,,3
828,сложный, желтый, холодный,Факультет политологии,6,no,4.0,4,48,51,59,65,55,5,1.0,2,17,1,6,1,английский,,,,1
829,большой,популярный, известный,Социологический факультет,7,yes,1.0,4,56,79,85,77,98,9,2.0,2,17,1,6,2,английский,немецкий,,,2
830,привлекательный, интересный, познавательный,Экономический факультет,7,no,1.0,7,52,67,62,55,65,6,2.0,2,18,2,5,1,английский,,,,3
831,общительный, культурный, литературный,Филологический факультет,8,no,2.0,1,63,95,85,82,66,8,2.0,2,17,2,5,1,английский,,,,2
832,замечательный, прекрасный, восхетительный,Экономический факультет,10,no,2.0,2,40,90,71,55,70,7,2.0,1,18,2,4,1,английский,,,,3
833,общественный, общительный, легкий,Социологический факультет,6,no,1.0,1,56,87,70,59,55,5,1.0,1,17,2,5,1,английский,,,,2
834,хороший, познавательный, интересный,Социологический факультет,8,no,2.0,5,60,90,78,68,70,10,3.0,2,18,2,5,1,английский,,,,3
836,высокий, интересный, увлекательный,Философский факультет,4,no,3.0,5,58,90,78,92,79,7,2.0,2,17,2,1,1,английский,,,,3
837,сложный, престижный, полезный,Юридический факультет,10,no,2.0,1,67,87,85,81,65,8,2.0,2,18,2,4,1,английский,,,,3
838,неперспективный, умный, красивый,Филологический факультет,6,no,1.0,1,70,95,100,55,95,10,1.0,2,19,1,6,1,английский,,,,2
840,перспективный, замечательный, высококвалифицированный,Высшая школа государственного аудита факультет,8,no,1.0,1,60,76,66,68,65,5,2.0,2,17,2,4,2,английский,французский,,,3
841,серьезный, странный, волосатый,Факультет фундаментальной физико–химической инженерии,8,no,2.0,1,32,59,56,65,43,6,3.0,3,17,2,4,1,английский,,,,3
842,престижный, респектабельный, сложный,Юридический факультет,10,yes,1.0,5,60,82,71,56,93,5,2.0,2,18,2,3,1,английский,,,,7
843,справедливость, значимость, престижность,Юридический факультет,4,no,2.0,5,52,95,63,65,65,3,1.0,3,17,2,3,1,английский,,,,4
844,интересный, веселый,,Филологический факультет,7,no,2.0,1,72,87,71,74,44,7,3.0,2,18,1,6,1,английский,,,,2
845,законный, качественный, лучший,Юридический факультет,7,no,2.0,7,48,68,65,55,77,6,3.0,3,17,2,7,1,английский,,,,3
846,приемлемый,перспективный,точный,Экономический факультет,6,no,2.0,1,60,84,56,67,96,5,2.0,2,17,2,3,1,английский,,,,4
847,перспективный,большой,строгий,Юридический факультет,6,no,2.0,1,74,92,65,87,62,8,3.0,3,16,2,7,2,английский,французский,,,3
848,увлекательный, трудный, перспективный,Филологический факультет,9,no,2.0,1,70,60,88,55,72,8,1.0,2,17,1,6,2,английский,французский,,,1
849,современный, передовой, классный,Высшая школа современных социальных наук факультет,6,no,2.0,1,48,87,56,82,45,8,1.0,3,17,2,4,1,английский,,,,2
850,известный, престижный,,Социологический факультет,6,no,2.0,2,32,48,44,56,57,3,2.0,3,18,2,3,1,английский,,,,3
851,хороший, недоступный, серьезный,Юридический факультет,8,no,2.0,5,58,62,62,65,61,4,2.0,2,17,2,4,2,английский,французский,,,3
852,неизвестный, интересный, странный,Филологический факультет,7,no,2.0,2,48,63,95,56,54,8,2.0,2,18,1,5,1,английский,,,,3
853,новый, интересный, перспективный,Факультет биоинженерии и биоинформатики,4,no,2.0,1,56,90,64,53,63,3,2.0,3,17,2,4,1,английский,,,,3
855,интересный, престижный, многосторнний,Факультет иностранных языков и регионоведения,5,no,4.0,7,40,82,58,65,54,8,2.0,3,17,2,5,2,английский,немецкий,,,3
856,новый, неизвестный, непонятный,Факультет биоинженерии и биоинформатики,5,no,2.0,1,60,63,62,67,70,2,2.0,2,18,2,6,2,английский,немецкий,,,2
858,престижный сложный,профессиональный,,Юридический факультет,10,no,2.0,7,48,76,63,54,65,8,2.0,2,18,1,7,1,английский,,,,3
859,занимательный, интересный, познавательный,Географический факультет,8,no,1.0,1,63,87,80,91,55,8,3.0,2,18,2,5,2,английский,французский,,,3
860,сложный, интересный, престижный,Юридический факультет,4,no,2.0,5,52,84,88,55,69,8,2.0,2,16,2,5,1,английский,,,,3
861,современный, экономический, интересный,Экономический факультет,7,no,2.0,7,70,69,59,70,55,7,1.0,1,17,2,5,2,английский,французский,,,3
863,желанный, лучший, родной,Экономический факультет,8,no,2.0,1,72,90,83,55,57,8,3.0,3,18,2,5,1,английский,,,,3
864,хороший,интересный,надёжный,Юридический факультет,7,no,2.0,5,52,90,88,94,61,7,3.0,3,17,2,5,1,английский,,,,2
865,интересный, многообещающий, увлекательный,Юридический факультет,1,no,1.0,4,63,73,64,56,54,7,2.0,2,17,2,5,1,английский,,,,2
866,юридический, честный, точный,Юридический факультет,7,no,1.0,1,36,88,55,65,63,6,1.0,3,18,2,5,1,английский,,,,3
867,хороший, классный, полезный,Экономический факультет,10,no,1.0,1,56,98,45,93,55,8,1.0,2,17,2,5,1,английский,,,,2
868,новый, научный, химический,Факультет фундаментальной физико–химической инженерии,7,no,2.0,5,70,63,66,92,54,6,3.0,3,17,1,5,1,английский,,,,3
869,интересный,,,Юридический факультет,4,no,2.0,7,70,75,97,88,54,8,1.0,1,17,1,6,2,английский,немецкий,,,3
870,интересный, большой, обучающий,Юридический факультет,3,no,2.0,1,70,92,72,87,55,5,2.0,2,17,2,4,2,английский,немецкий,,,4
871,современный, юридический, любимый,Юридический факультет,8,no,2.0,1,42,63,70,61,67,4,1.0,3,18,1,6,1,английский,,,,2
872,сложный, интересный, правовой,Юридический факультет,8,no,2.0,1,32,70,65,47,56,3,1.0,3,17,2,6,2,английский французский,,,,2
873,прикольный, отличный, крутой,Социологический факультет,8,yes,4.0,3,80,78,86,79,65,9,3.0,3,17,1,7,1,английский,,,,7
874,известный, престижный, веселый,Филологический факультет,5,no,2.0,4,72,92,56,75,89,10,2.0,3,18,1,4,2,английский французский,,,,7
875,увлекательный,интересующий, уместный,Экономический факультет,9,no,2.0,4,63,82,66,92,69,7,2.0,2,17,2,5,2,английский немецкий,,,,3
876,традиционный,стабильный,качественный,Юридический факультет,8,no,2.0,2,52,70,78,65,75,6,2.0,3,17,1,5,1,английский,,,,3
877,международный, классный, престижный,Факультет глобальных процессов,8,no,2.0,5,60,95,70,77,57,4,3.0,3,17,2,4,2,английский немецкий,,,,3
878,перспективный, интересный, современный,Высшая школа современных социальных наук факультет,8,no,3.0,1,70,83,88,87,61,10,2.0,3,18,1,7,3,английский,испанский,французский,,7
879,неизвестный, новый, интересный,Социологический факультет,7,yes,3.0,1,44,72,69,100,54,8,1.0,2,18,1,6,2,,английский немецкий,,,2
880,известный, интересный, многоплановый,Филологический факультет,6,no,2.0,1,75,84,66,83,63,5,2.0,2,18,2,4,1,английский,,,,2
