,First word,Second word,Third word,Faculty,Admission probability,Relatives graduated this faculty,Plans to work in this field,Preparation for admission,Math,Russian language,Social science,Foreign language,History,Probability of other faculties admission,Pay for university possibility,Student loan,Age,Sex,Financial situation of the family,Number of foreign languages,First foreign language,Second foreign language,Third foreign language,Fourth foreign language,Family social class
473,загадочный,непонятный,желательный,Философский факультет,6,no,2.0,3,59,71,67,65,72,10,2.0,2,18,1,4,2,английский,немецкий,,,3
474,известный, профессиональный, всеобъемлющий,Юридический факультет,8,no,3.0,5,68,73,83,93,66,8,1.0,2,16,2,5,1,английский,,,,3
477,сложный, научный, желанный,Экономический факультет,10,no,1.0,5,60,90,80,56,70,1,2.0,2,18,2,5,2,английский,латынь,,,3
479,престижный, крупный, желаемый,Филологический факультет,6,yes,2.0,1,65,85,70,56,60,6,1.0,3,18,2,5,2,немецкий,английский,,,3
480,перспективный, классный, престижный,Факультет государственного управления,8,no,2.0,1,51,71,82,75,92,7,1.0,3,18,1,5,3,английский,немецкий,французский,,3
481,великолепный, замечательный, прекрасный,Исторический факультет,8,yes,3.0,"1,2,5",56,79,66,97,91,8,1.0,2,17,2,6,2,английский,французский,,,3
482,правоведческий,,,Юридический факультет,10,no,2.0,1,85,90,90,78,80,9,1.0,2,19,1,4,2,английский,французский,,,2
484,известный, престижный,,Экономический факультет,7,no,2.0,1,44,90,72,65,79,6,1.0,2,18,2,5,1,английский,,,,2
485,мощный,сильный,престижный,Факультет государственного управления,7,no,1.2,7,25,56,49,55,39,7,1.0,2,19,1,6,3,английский,итальянский,армянский,,2
487,классный, престижный, самый лучший,Факультет иностранных языков и регионоведения,6,yes,2.0,1.5,60,72,84,85,65,6,3.0,3,17,1,5,2,немецкий,английский,,,3
488,сложный красивый привлекательный,,,Исторический факультет,9,no,1.0,7,93,98,95,57,83,7,2.0,2,18,1,5,2,английский,французский,,,3
489,интересный, доброжелательный, привлекательный,Социологический факультет,6,no,4.0,7,56,69,65,82,56,6,2.0,2,17,2,5,1,английсий,,,,3
490,перспективный, желаемый, новый,Экономический факультет,6,yes,2.0,1,60,69,70,72,70,6,1.0,3,17,1,6,2,калмыцкий,английский,,,2
492,перспективный, международный, экономический,Факультет государственного управления,7,yes,2.0,3,44,66,58,56,52,10,1.0,2,17,2,5,1,английский,,,,2
493,перспективный, современный, простой,Высшая школа государственного аудита факультет,4,no,4.0,1,80,87,56,90,65,6,2.0,2,17,1,5,2,английский,немецкий,,,3
494,хороший,перспективный,замечательный,Юридический факультет,8,no,2.0,1,52,92,83,95,84,7,1.0,2,17,2,4,2,английский,немецкий,,,2
495,фундаментальный, мудрый, интересный,Филологический факультет,5,no,2.0,5,36,52,54,65,35,5,1.0,3,18,2,6,2,английский,немецкий,,,3
497,сложный,классный,престижный,Экономический факультет,5,no,2.0,2,44,67,69,60,66,5,1.0,3,18,1,6,1,испанский,,,,3
499,строгий, справледливый, познавательный,Факультет государственного управления,8,no,2.0,1,56,57,70,65,55,6,1.0,3,17,1,6,2,английский,немецкий,,,2
500,интересный, классный, клевый,Факультет государственного управления,4,no,2.0,1,48,63,55,66,66,5,1.0,2,18,2,4,1,английский,,,,3
508,ламповый,советский,милый,Географический факультет,7,no,4.0,1,70,84,72,84,54,8,2.0,3,17,2,4,1,английский,,,,3
519,перспективный,интересный, развивающий,Экономический факультет,7,no,2.0,4,72,73,83,70,44,7,1.0,1,18,2,5,1,английский,,,,3
520,успешный, банальный, крутой,Юридический факультет,6,yes,2.0,5,56,61,55,52,79,6,1.0,3,16,1,3,2,английский,,,,3
521,важный, интересный, престижный,Факультет политологии,7,yes,2.0,2,66,67,55,80,66,4,2.0,2,18,1,4,1,английский,,,,3
523,перспективный интересный желанный,,,Юридический факультет,5,yes,2.0,5,70,98,65,95,56,5,2.0,2,18,2,5,1,английский,,,,3
529,неизведанный, загадочный, обнадеживающий,Биологический факультет,5,no,2.0,1,64,82,87,58,91,5,1.0,2,18,1,6,2,английский,французский,,,7
530,впечатляющий, величественный, престижный,Философский факультет,7,yes,2.0,4.5,60,92,55,95,66,5,2.0,3,16,1,4,4,английский,немецкий,латынь,,3
531,интересный,бюджетный,прикольный,Философский факультет,10,yes,2.0,1,66,80,65,82,81,10,1.0,1,18,1,7,2,английский,французский,,,1
532,фундаментальный, интересный,,Факультет искусств,7,no,2.0,1,92,84,72,70,55,6,1.0,3,17,1,5,1,английский,,,,2
533,запасной, хороший, возможный,Экономический факультет,5,yes,2.0,1,83,82,80,92,56,5,2.0,2,17,2,5,1,английский,,,,7
534,застарелый, большой, нормальный,Факультет вычислительной математики и кибернетики,8,no,1.0,"1,2,5",32,70,93,56,75,9,1.0,3,17,1,5,1,французский,,,,3
535,серьёзный, интересный, увлекательный,Юридический факультет,7,no,1.0,7,44,87,83,83,96,7,2.0,2,18,1,7,1,английский,,,,3
536,престижный, сложный, интересный,Экономический факультет,8,no,2.0,1,60,72,57,45,65,8,1.0,2,17,1,6,1,английский,,,,3
